TEST CASE ID,Module,Type,TEST CASE DESCRIPTION,Steps,EXPECTED RESULT,Remark,Actusl result -OP,Actual result -Cloud
TC_058,Agent Fw,E2E,WFA Full Flow with SSMK,"1. Enable WFA on server
2. Move an existing managed Mac agent to WFA state
3. Verify Mac moves to WFA list in Web Console
4. Approve the Mac from Web Console
5. Verify Mac returns to managed state
6. Trigger an on-demand action and verify it works",After approval logs show ""KeyShare: Initiating key share request"" (agent fetches fresh keys). Agent returns to managed Online state. On-demand action succeeds. Full WFA cycle works end-to-end with SSMK keys,"CCA enable & CCA disabled
TC",,
,
,
,,,,Agent installation,"After install, agent should communicate fine","CCA enable & CCA disabled
TC",,
,,,,Agent uninstallation,"Uninstall agent with uninstaller.app
All folder except logs folder must be removed
services must be removed
Addons should be removed
SSP Shortcut deletion","CCA enable & CCA disabled
TC",,
,,,,Agent uninstallation - TOTP,"1. TOTP UI - retry count should reflect on failure even after closing
correct and incorrect totp case
2. TOTP via terminal case

3. Delete temp data folder and try totp ui","CCA enable & CCA disabled
TC",,
,,,,Addon installtion,"After agent installed, Addon must be installed and work well","CCA enable & CCA disabled
TC",,
,,,,MDM Enrollment,"Configure NAT and apns
once agent installed, MDM prompt should happen and Mac should be enrolled on clicking enroll","CCA enable & CCA disabled
TC",,
,,,,Push install,,"CCA enable & CCA disabled
TC",,
,,,,Push uninstall,,"CCA enable & CCA disabled
TC",,
,,,,Agent install via MDM,,"CCA enable & CCA disabled
TC",,
,,,,Move between remote office,,"CCA enable & CCA disabled
TC",,
,,,,ipscope,,"CCA enable & CCA disabled
TC",,
,,,,Run cfgupdate,check if refresh triggered,"CCA enable & CCA disabled
TC",,
,,,,Trayion actions,"apply config
inv scan
patch scan
SDP
archive logs","CCA enable & CCA disabled
TC",,
,,,,SOM Removal,Remove mac from SOM. It should be uninstalled,"CCA enable & CCA disabled
TC",,
,,,,Agent upgrade,change agent version in dupserverinfo and check if upgrade happens over new build too,"CCA enable & CCA disabled
TC",,
,,,On prem,ppm from 2300 to new build,,"CCA enable & CCA disabled
TC",,
,,,,ppm from 2300 to 2310 (rebranding) then to new build,,"CCA enable & CCA disabled
TC",,
,,,cloud,Run ISU,,"CCA enable & CCA disabled
TC",,
,,,,Agent upgrade failure cases,"checksum
file missing
install fail
download fail","CCA enable & CCA disabled
TC",,
,,,,Torubleshoot executable case,check if exec is downloaded once everyday,"CCA enable & CCA disabled
TC",,
,,,,check post migration (Migration),"check if below list removed
1. identity.p12
2. ems_info.plist
3. inventory.db
4. binaries-checksum.json

TrayLastModifiedTime in dcconfig_data.plist
totp details in dcagentsettings.plist

these will be migrated to vault","CCA enable & CCA disabled
TC",,
,,,,RestrictUninstall key in vault,Ensure Uninstall not restricted till machine approved,"CCA enable & CCA disabled
TC",,
,,,,"Verfiy Encryption/Decryption in op, cloud dev, cloud prod","masterkey moved to swift. 
Build changes were made","CCA enable & CCA disabled
TC",,
,,,,Verify if dcutils.dylib and UEMSCrypt.dylib is access only by zoho signed exe,,"CCA enable & CCA disabled
TC",,
,,,cloud,check if encapi trimmed in urls,,"CCA enable & CCA disabled
TC",,
,,,,Check localisation,,"CCA enable & CCA disabled
TC",,
,,,,Check if Client cert is fetch and stored in Vault,"Vault name: Agent 
Table: Security
key: ClientAuthIdentity","CCA enable & CCA disabled
TC",,
,,,,Cli cert renewal,,"CCA enable & CCA disabled
TC",,
