TEST CASE ID,Module,Type,TEST CASE DESCRIPTION,Steps
TC-SSMK-012,Service Master Keys,Functional,Verify ClearServiceMKeysLastContact removes all lastcontact entries on re-approval,"1. Agent with service-master-keys processed (smkeys_last_contact has entries)
2. Trigger agent re-approval flow (approval token refresh)
3. Verify ClearServiceMKeysLastContact called (check logs)
4. Run: dctroubleshootingtool --db /usr/local/manageengine/uems_agent/data/datavault/storage/agent.db ""SELECT * FROM smkeys_last_contact""
5. Verify table is empty (0 rows)
6. On next refresh verify all applicable keyUUIDs re-requested"
TC-SSMK-013,Service Master Keys,Functional,Verify partial SSMK failure deletes all SSMK tables for full retry,"1. Configure server with 2 applicable keys (SOM valid FRAMEWORK invalid serviceKey)
2. Trigger dcconfig service-master-keys processing
3. Verify ProcessServiceMasterKeys returns false
4. Verify smkeys smkeysUUID and smkeys_last_contact tables deleted
5. Verify logs show 'partial failure — will retry on next refresh'
6. On next cycle verify all keys re-requested from scratch"
TC-SSMK-014,Service Master Keys,Functional,Verify only keyUUIDs with changed createdTime are re-requested (not non-applicable),"1. Process service-master-keys successfully (SOM + FRAMEWORK stored 3 other non-applicable skipped)
2. Update service-mkeys.json with changed createdTime for non-applicable keyUUID only
3. Trigger dcconfig refresh
4. Verify keyShareRequest is NOT sent (no applicable key changed)
5. Verify logs show 'no keys need requesting. All up to date'"
TC-CRYPTO-001,Vault Crypto,Functional,Verify EncryptWithApprovalKey encrypts CSR data correctly,"1. Register agent (approval_key stored in vault)
2. Trigger CSR generation
3. Verify CSR data encrypted with approval_key from vault (not static master key)
4. Verify server can decrypt and issue certificate"
TC-CRYPTO-002,Vault Crypto,Functional,Verify DecryptWithDynamicKey uses vault dynamic_key,"1. Agent registered with dynamic_key in vault
2. Trigger metadata download that requires dynamic key decryption
3. Verify decryption succeeds using dynamic_key from vault
4. Verify no fallback to file-based dynamic key"
TC-CRYPTO-003,Vault Crypto,Functional,Verify GetProvKey retrieves provisioning key from vault for HTTP auth,"1. Agent registered with prov_key in vault
2. Trigger HTTP communication to cloud server
3. Verify auth token generated using prov_key from vault
4. Verify server accepts the auth token (200 response)"
TC-CRYPTO-004,Vault Crypto,Functional,Verify GetProxyPassword retrieves proxy password from vault,"1. Agent with proxy configured and proxy_password in vault
2. Trigger HTTP request through proxy
3. Verify proxy authentication succeeds
4. Verify no proxy_password read from server-info.json"
TC-ROTATION-001,Key Rotation,Functional,Verify RotateAll re-encrypts master and module vaults,"1. Agent running with vault DB containing auth tokens
2. Trigger key rotation (RotateAll with new master key)
3. Verify master vault re-encrypted with new key
4. Verify all module vaults re-encrypted
5. Verify agent continues to read/write after rotation"
TC-ACCESSLOG-001,DB Access Log,Functional,Verify vault operations logged in dcagentdbaccess log,"1. Install and register agent
2. Trigger dcconfig refresh (vault reads/writes occur)
3. Check /logs/dcagentdbaccess*.txt exists
4. Verify log entries have format: date time changedBy operation module submodule key status remarks
5. Verify timestamps include milliseconds (5 digits)"
TC-ACCESSLOG-002,DB Access Log,Functional,Verify m_vault.db operations logged in dcagentdbaccess log,"1. Agent running with protected vault
2. Trigger Store/Retrieve operations
3. Verify STORE and RETRIEVE entries appear in dcagentdbaccess log
4. Verify module and submodule columns show correct DB/Table names"
TC-BUG-001,dcregister (Bug),Bug,Verify duplicate AGENT_SECURITY_SETTING assignment does not cause issues,"1. Trigger agent uninstall with TOTP enabled
2. Verify uninstall flow does not crash despite duplicate assignment on line 383-384
3. Verify TOTP verification works correctly
4. NOTE: Duplicate line should be removed in next commit"
TC-RENAME-001,Package Rename,Build,Verify ds-server-info.xml renamed to ds-server-infoV2.xml in metadata constants,"1. Build dcconfig binary
2. Verify DS_SERVER_INFO_XML_FILENAME constant is 'ds-server-infoV2.xml'
3. Verify dcconfig requests ds-server-infoV2.xml from server
4. Verify backward compatibility — server serves both V1 and V2 during interim"
TC-HTTPAUTH-001,HTTP Auth (403),Functional,Verify checkForRequestHeaderErrors handles 403 correctly,"1. Agent registered with auth token in vault
2. Simulate server returning 403 with client cert error header
3. Verify agent distinguishes between auth token error and cert error
4. On auth token error: verify tokens cleared from vault and re-fetched
5. On cert error: verify certificate regeneration triggered"
