Testcase ID,Functionality,Sub-Functionality,Title,Pre-requisites,Steps,Expected Output,Support Files,Platform,OS Version,Priority,Category,Remarks,Actual Output,Status - OP,Status - Cloud,Issue ID
TC-AGENTINSTALL-MANUALGUI-004,Agent Installation,MANUALGUI,Download agent EXE from server console,Console access via Qengine browser.,"1. Open the UEMS console; go to Agent > Computers > Download Agent. [Qengine browser]
2. Select office (Local/Remote) + OS; click Download Agent. [Qengine browser]
3. Verify <OfficeName>_Agent.exe downloads and is not corrupted (size > 0, opens).",Installer EXE downloads successfully; file integrity OK.,Browser download folder,windows,Windows 11 (x64),P2,Success / Happy Path,"Browser step - Qengine owned, manual product-level.",,,,
TC-AGENTINSTALL-MANUALGUI-005,Agent Installation,MANUALGUI,Copy installer to target machine,Downloaded installer available on source machine.,"1. Locate the downloaded installer. [file_folder_operation]
2. Copy it to the target (GOAT upload files feature / share). [file_folder_operation]
3. Verify the file exists at the target path. [file_folder_operation: check_presence]",Installer present at the expected target path with matching size.,File Explorer / network share,windows,Windows 11 (x64),P3,Integration,,,,,
TC-AGENTINSTALL-MANUALGUI-006,Agent Installation,MANUALGUI,Manual install fails on invalid CAPTCHA,Clean target. EXE available.,"1. Launch installer. [run_bat]
2. Read CAPTCHA (automationId 3) then deliberately type wrong text (automationId 6). [native_gui_operation]
3. Click OK (automationId 7). [native_gui_operation]
4. Observe.",CAPTCHA validation fails; an error is shown; the wizard does not advance to install.,Installer UI,windows,Windows 11 (x64),P2,Negative Cases,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-MANUALGUI-007,Agent Installation,MANUALGUI,Manual install fails with corrupt installer,Clean target. A deliberately corrupted <OfficeName>_Agent.exe.,"1. Place a corrupt installer on the target. [file_folder_operation]
2. Launch it. [run_bat]
3. Observe.",Installer fails to run / errors out; no agent service or registry created.,Installer UI; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\,windows,Windows 11 (x64),P2,Negative Cases,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-MANUALGUI-008,Agent Installation,MANUALGUI,Manual install without administrator rights,Clean target. Standard (non-admin) user session.,"1. Log in as a standard user.
2. Run the installer. [run_bat]
3. Observe.",Installation blocked with a permission/elevation error. Agent not installed.,Installer UI,windows,Windows 11 (x64),P2,Security / Permission,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-MANUALGUI-009,Agent Installation,MANUALGUI,Manual wizard encounters an undocumented GUI element,Installer build introduces a new wizard control not in the KNOWLEDGE.md automationId table.,"1. Launch installer and proceed through the documented steps. [native_gui_operation]
2. On reaching an undocumented control, STOP automation.
3. Capture the control and request its automationId from the user before generating GOAT JSON.",Test halts at the unknown control; tester records the new automationId. No fabricated IDs used.,Installer UI,windows,Windows 11 (x64),P3,Edge Cases,Per KNOWLEDGE rule: never fabricate automationId - ask the user.,,,,
TC-AGENTINSTALL-MANUALGUI-010,Agent Installation,MANUALGUI,Network drop during manual installer download,Console download in progress via Qengine.,"1. Start the agent download. [Qengine browser]
2. Disconnect the network mid-download. [network util]
3. Observe.",Download fails gracefully (no partial/corrupt file treated as valid); clear error surfaced.,Browser; network util,windows,Windows 11 (x64),P2,Timing / Timeout,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-MANUALGUI-011,Agent Installation,MANUALGUI,Manual installation logged as 'upgrade' in SOM log,"Clean target (fresh install, not an upgrade).","1. Perform a fresh manual install. 1. Launch <OfficeName>_Agent.exe on the target. [run_bat]
2. After install, inspect the SOM log / install classification in the console. [Qengine browser]","A fresh manual install must be recorded as a new installation, NOT as an upgrade, in the SOM log.",UEMS console SOM log; C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log,windows,Windows 11 (x64),P2,Support Ticket Scenario,SUPPORT TICKET: manual-install-printed-as-upgrade.,,,,Install vs upgrade log
TC-AGENTINSTALL-MANUALGUI-012,Agent Installation,MANUALGUI,Manual install fails - TEMP directory points to invalid path,Target where %TEMP% / TMP environment variable points to a non-existent or invalid path.,"1. Set %TEMP% to an invalid path on the target. [manual]
2. Launch the manual installer. [run_bat]
3. Observe.",Reproduce manual install failure caused by invalid temp path; confirm fix handles/falls back gracefully.,Installer UI; C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log,windows,Windows 11 (x64),P2,Support Ticket Scenario,SUPPORT TICKET: temp-directory-invalid-path.,,,,Invalid TEMP
TC-AGENTINSTALL-MANUALGUI-013,Agent Installation,MANUALGUI,Manual installation failure - miscellaneous reasons,Clean target; reproduce general manual install failure conditions reported by customers.,"1. Attempt manual install under the reported failure conditions. [run_bat / native_gui_operation]
2. Collect installer log and DCAgentService.log.
3. Classify the failure cause.",Failure reproduced and root-caused; installer surfaces a meaningful error; no half-installed state left behind.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; installer log,windows,Windows 11 (x64),P3,Failure / Error Handling,SUPPORT TICKET: manual-install-misc-failure.,,,,Misc manual failure
TC-AGENTINSTALL-MANUALGUI-014,Agent Installation,MANUALGUI,Installer crash - NULL service tag (heap corruption),"Target where service-tag fetch can return null (e.g., VM / hardware without service tag).","1. Set up a target whose service tag fetch returns null. [manual]
2. Run the agent installer. [run_bat]
3. Monitor for crash / heap corruption.",Installer must NOT crash on null service tag; it handles null safely and completes (or fails cleanly without heap corruption).,installer log; Windows Event Viewer; C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log,windows,Windows 11 (x64),P1,Bug Scenario,BUG SCENARIO: heap corruption from null service tag.,,,,Null servicetag heap
TC-AGENTINSTALL-MANUALGUI-015,Agent Installation,MANUALGUI,Installer crash - NULL resource string used by strcpy,Target/build where a resource string can resolve to NULL.,"1. Trigger the install path that reads the resource string. [run_bat]
2. Monitor for crash during strcpy on the NULL string.",Installer handles the NULL resource string safely and does not crash.,installer log; Event Viewer,windows,Windows 11 (x64),P1,Bug Scenario,BUG SCENARIO: NULL resource string strcpy crash.,,,,Null resource strcpy
TC-AGENTINSTALL-MANUALGUI-016,Agent Installation,MANUALGUI,Installer crash - dynamic key is null,Target/config where a dynamic key resolves to null during install.,"1. Run the installer through the code path that uses the dynamic key. [run_bat]
2. Monitor for crash.",Installer handles the null dynamic key gracefully without crashing.,installer log; Event Viewer,windows,Windows 11 (x64),P1,Bug Scenario,BUG SCENARIO: crash when dynamic key null.,,,,Null dynamic key
TC-AGENTINSTALL-MANUALGUI-017,Agent Installation,MANUALGUI,Installer crash - processing agent-security-settings.json (GetAttemptData),Target with an agent-security-settings.json that exercises GetAttemptData.,"1. Place the relevant agent-security-settings.json on the target. [file_folder_operation]
2. Run install so GetAttemptData processes it. [run_bat]
3. Monitor for crash.",Install processes agent-security-settings.json without crashing in GetAttemptData.,agent-security-settings.json; installer log; Event Viewer,windows,Windows 11 (x64),P1,Bug Scenario,BUG SCENARIO: crash in GetAttemptData.,,,,GetAttemptData crash
TC-AGENTINSTALL-MANUALGUI-018,Agent Installation,MANUALGUI,Post-install validation - architecture-aware,Manual install just completed.,"1. Record target architecture: run `wmic os get osarchitecture` (use $env:PROCESSOR_ARCHITECTURE for ARM64). [run_command]
2. In UEMS console (Agent > Scope of Management > Computers) confirm the machine is listed under the correct office with remark ""Agent Installed successfully"" / status Active. [Qengine browser]
3. Verify service ""ManageEngine UEMS Agent Service"" exists and is RUNNING. [service_actions: status -> running]
4. Verify startup type Automatic: HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\..\SYSTEM\CurrentControlSet\Services\DCAgent -> Start = 2. [registry_operation: read_key]
5. Verify registry keys ServerName, ServerPort, AgentVersion, InstallDir under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\ (x86 uses HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\). [registry_operation: read_key]
6. Verify install dir C:\Program Files (x86)\ManageEngine\UEMS_Agent\\ exists with bin\, conf\, logs\ subfolders (x86 uses C:\Program Files\ManageEngine\UEMS_Agent\\). [file_folder_operation: check_presence]
7. Verify process DCAgentService.exe is running. [task_manager: verify_process]
8. Verify C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log shows the expected Central Server/DS as the communication target.","Architecture recorded. Machine shows Active in console under the correct office. Service ""ManageEngine UEMS Agent Service"" RUNNING with Start=2. Registry keys populated with correct ServerName (Central Server IP for Local/Direct, DS IP for Remote-via-DS). Install directory and sub-folders present for the architecture. Process DCAgentService.exe running. DCAgentService.log confirms communication target.",C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 11 (x64),P1,Success / Happy Path,Reusable post-validation block.,,,,
TC-AGENTINSTALL-SILENTINSTALL-001,Agent Installation,SILENTINSTALL,Silent EXE install (/silent) - Local Office (x64) happy path,Clean target. <OfficeName>_Agent.exe copied to target. Admin command prompt.,"1. Open an elevated command prompt on the target.
2. Run: <OfficeName>_Agent.exe /silent  (e.g., LocalOffice_Agent.exe /silent). [run_bat arguments=/silent]
3. Confirm NO GUI appears.
1. Record target architecture: run `wmic os get osarchitecture` (use $env:PROCESSOR_ARCHITECTURE for ARM64). [run_command]
2. In UEMS console (Agent > Scope of Management > Computers) confirm the machine is listed under the correct office with remark ""Agent Installed successfully"" / status Active. [Qengine browser]
3. Verify service ""ManageEngine UEMS Agent Service"" exists and is RUNNING. [service_actions: status -> running]
4. Verify startup type Automatic: HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\..\SYSTEM\CurrentControlSet\Services\DCAgent -> Start = 2. [registry_operation: read_key]
5. Verify registry keys ServerName, ServerPort, AgentVersion, InstallDir under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\ (x86 uses HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\). [registry_operation: read_key]
6. Verify install dir C:\Program Files (x86)\ManageEngine\UEMS_Agent\\ exists with bin\, conf\, logs\ subfolders (x86 uses C:\Program Files\ManageEngine\UEMS_Agent\\). [file_folder_operation: check_presence]
7. Verify process DCAgentService.exe is running. [task_manager: verify_process]
8. Verify C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log shows the expected Central Server/DS as the communication target.","No GUI shown; install completes silently. Architecture recorded. Machine shows Active in console under the correct office. Service ""ManageEngine UEMS Agent Service"" RUNNING with Start=2. Registry keys populated with correct ServerName (Central Server IP for Local/Direct, DS IP for Remote-via-DS). Install directory and sub-folders present for the architecture. Process DCAgentService.exe running. DCAgentService.log confirms communication target.",C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 11 (x64),P1,Success / Happy Path,Local Office.,,,,
TC-AGENTINSTALL-SILENTINSTALL-002,Agent Installation,SILENTINSTALL,Silent EXE install - Remote Office via DS,Clean target. <RemoteOfficeName>_Agent.exe copied. DS Active and replicated.,"1. Elevated cmd; run <RemoteOfficeName>_Agent.exe /silent. [run_bat arguments=/silent]
1. Record target architecture: run `wmic os get osarchitecture` (use $env:PROCESSOR_ARCHITECTURE for ARM64). [run_command]
2. In UEMS console (Agent > Scope of Management > Computers) confirm the machine is listed under the correct office with remark ""Agent Installed successfully"" / status Active. [Qengine browser]
3. Verify service ""ManageEngine UEMS Agent Service"" exists and is RUNNING. [service_actions: status -> running]
4. Verify startup type Automatic: HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\..\SYSTEM\CurrentControlSet\Services\DCAgent -> Start = 2. [registry_operation: read_key]
5. Verify registry keys ServerName, ServerPort, AgentVersion, InstallDir under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\ (x86 uses HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\). [registry_operation: read_key]
6. Verify install dir C:\Program Files (x86)\ManageEngine\UEMS_Agent\\ exists with bin\, conf\, logs\ subfolders (x86 uses C:\Program Files\ManageEngine\UEMS_Agent\\). [file_folder_operation: check_presence]
7. Verify process DCAgentService.exe is running. [task_manager: verify_process]
8. Verify C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log shows the expected Central Server/DS as the communication target.",Silent install completes; ServerName = DS IP; listed under Remote Office.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 11 (x64),P2,Cross-Environment,Remote Office (via DS).,,,,
TC-AGENTINSTALL-SILENTINSTALL-003,Agent Installation,SILENTINSTALL,Silent EXE install - x86,Clean 32-bit target. EXE copied.,"1. Run <OfficeName>_Agent.exe /silent (elevated). [run_bat]
2. Verify dir C:\Program Files\ManageEngine\UEMS_Agent\\ and hive HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\. [file_folder_operation/registry_operation]",Silent install to C:\Program Files\ManageEngine\UEMS_Agent\\ with direct registry hive; service RUNNING.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 10 (x86),P2,Cross-Environment,,,,,
TC-AGENTINSTALL-SILENTINSTALL-004,Agent Installation,SILENTINSTALL,Silent EXE install without admin rights,Clean target. Standard user.,"1. As standard user, run <OfficeName>_Agent.exe /silent. [run_bat]
2. Observe.",Install fails with a permission error; agent not installed.,cmd output,windows,Windows 11 (x64),P2,Security / Permission,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-SILENTINSTALL-005,Agent Installation,SILENTINSTALL,Silent EXE install with wrong argument,Clean target. EXE copied.,"1. Run <OfficeName>_Agent.exe with an invalid argument. [run_bat]
2. Observe.",Installer errors or ignores the bad argument without producing a broken install.,cmd output,windows,Windows 11 (x64),P3,Negative Cases,,,,,
TC-AGENTINSTALL-SILENTINSTALL-006,Agent Installation,SILENTINSTALL,Silent EXE install with corrupt executable,Clean target. Corrupt EXE.,"1. Run the corrupt EXE with /silent. [run_bat]
2. Observe.",Install fails; no agent service/registry created.,cmd output; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\,windows,Windows 11 (x64),P2,Negative Cases,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-SILENTINSTALL-007,Agent Installation,SILENTINSTALL,EXE installer returns success without proper error code (OSD impact),OSD/scripted deployment that relies on installer exit codes.,"1. Force a failure condition for the EXE installer (e.g., precondition not met). [run_bat]
2. Capture the process exit code (%ERRORLEVEL%).
3. Compare against the MSI installer's exit code for the same failure.","EXE installer should return a proper non-zero error code on failure (matching MSI behavior), so OSD deployment does not treat a failed install as success.",cmd %ERRORLEVEL%; OSD deployment logs; C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log,windows,Windows 11 (x64),P1,Integration,SUPPORT TICKET: EXE-no-error-codes-OSD. BUG SCENARIO.,,,,EXE exit code
TC-AGENTINSTALL-SILENTINSTALL-008,Agent Installation,SILENTINSTALL,Silent EXE deployed via GPO,Domain with a GPO startup/software-install policy configured for the agent EXE.,"1. Configure GPO to run the silent EXE on target machines. [manual/Qengine]
2. Apply policy / reboot or gpupdate. [run_command]
1. Record target architecture: run `wmic os get osarchitecture` (use $env:PROCESSOR_ARCHITECTURE for ARM64). [run_command]
2. In UEMS console (Agent > Scope of Management > Computers) confirm the machine is listed under the correct office with remark ""Agent Installed successfully"" / status Active. [Qengine browser]
3. Verify service ""ManageEngine UEMS Agent Service"" exists and is RUNNING. [service_actions: status -> running]
4. Verify startup type Automatic: HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\..\SYSTEM\CurrentControlSet\Services\DCAgent -> Start = 2. [registry_operation: read_key]
5. Verify registry keys ServerName, ServerPort, AgentVersion, InstallDir under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\ (x86 uses HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\). [registry_operation: read_key]
6. Verify install dir C:\Program Files (x86)\ManageEngine\UEMS_Agent\\ exists with bin\, conf\, logs\ subfolders (x86 uses C:\Program Files\ManageEngine\UEMS_Agent\\). [file_folder_operation: check_presence]
7. Verify process DCAgentService.exe is running. [task_manager: verify_process]
8. Verify C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log shows the expected Central Server/DS as the communication target.","Agent installs silently via GPO on policy application. Architecture recorded. Machine shows Active in console under the correct office. Service ""ManageEngine UEMS Agent Service"" RUNNING with Start=2. Registry keys populated with correct ServerName (Central Server IP for Local/Direct, DS IP for Remote-via-DS). Install directory and sub-folders present for the architecture. Process DCAgentService.exe running. DCAgentService.log confirms communication target.",C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser); GPO results (gpresult),windows,Windows 11 (x64),P2,Integration,GPO method.,,,,
TC-AGENTINSTALL-SILENTINSTALL-009,Agent Installation,SILENTINSTALL,Silent EXE deployed via OSD image,OS Deployment image including the agent silent EXE step.,"1. Build/deploy an OSD image that runs the silent EXE during provisioning. [manual]
2. Complete imaging; boot the machine.
3. Validate agent. 1. Record target architecture: run `wmic os get osarchitecture` (use $env:PROCESSOR_ARCHITECTURE for ARM64). [run_command]",Agent present and Active after OSD provisioning; correct office/server registration.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 11 (x64),P2,Integration,OSD deployment.,,,,
TC-AGENTINSTALL-MSIINSTALL-001,Agent Installation,MSIINSTALL,MSI silent install (x64) happy path,"Clean target. MSI zip extracted (UEMSAgent.msi, UEMSAgent.mst, DMRootCA-Server.crt, DMRootCA.crt). Elevated cmd in the extracted folder.","1. Open elevated cmd in the extracted folder.
2. Run: msiexec /i ""UEMSAgent.msi"" /qn TRANSFORMS=""UEMSAgent.mst"" ENABLESILENT=yes REBOOT=ReallySuppress INSTALLSOURCE=Manual SERVER_ROOT_CRT=""%cd%\DMRootCA-Server.crt"" DS_ROOT_CRT=""%cd%\DMRootCA.crt"" /lv ""Agentinstalllog.txt"" [run_command]
3. Confirm Agentinstalllog.txt is created in the current directory.
1. Record target architecture: run `wmic os get osarchitecture` (use $env:PROCESSOR_ARCHITECTURE for ARM64). [run_command]
2. In UEMS console (Agent > Scope of Management > Computers) confirm the machine is listed under the correct office with remark ""Agent Installed successfully"" / status Active. [Qengine browser]
3. Verify service ""ManageEngine UEMS Agent Service"" exists and is RUNNING. [service_actions: status -> running]
4. Verify startup type Automatic: HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\..\SYSTEM\CurrentControlSet\Services\DCAgent -> Start = 2. [registry_operation: read_key]
5. Verify registry keys ServerName, ServerPort, AgentVersion, InstallDir under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\ (x86 uses HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\). [registry_operation: read_key]
6. Verify install dir C:\Program Files (x86)\ManageEngine\UEMS_Agent\\ exists with bin\, conf\, logs\ subfolders (x86 uses C:\Program Files\ManageEngine\UEMS_Agent\\). [file_folder_operation: check_presence]
7. Verify process DCAgentService.exe is running. [task_manager: verify_process]
8. Verify C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log shows the expected Central Server/DS as the communication target.","MSI installs silently; Agentinstalllog.txt created. Architecture recorded. Machine shows Active in console under the correct office. Service ""ManageEngine UEMS Agent Service"" RUNNING with Start=2. Registry keys populated with correct ServerName (Central Server IP for Local/Direct, DS IP for Remote-via-DS). Install directory and sub-folders present for the architecture. Process DCAgentService.exe running. DCAgentService.log confirms communication target.",C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser); Agentinstalllog.txt,windows,Windows 11 (x64),P1,Success / Happy Path,Command identical for builds below and above 10.1.2220.1.,,,,
TC-AGENTINSTALL-MSIINSTALL-002,Agent Installation,MSIINSTALL,Download MSI zip (Command Line option) from console,Console access via Qengine.,"1. Agent > Agent Installation > Other Methods > Download Agent (Command Line option). [Qengine browser]
2. Download the zip; verify it completes and is not corrupted.",MSI zip downloads successfully.,Browser download folder,windows,Windows 11 (x64),P2,Success / Happy Path,Browser step - Qengine owned.,,,,
TC-AGENTINSTALL-MSIINSTALL-003,Agent Installation,MSIINSTALL,Unzip MSI package and verify all required files present,MSI zip on target.,"1. Extract the zip on the target. [file_folder_operation]
2. Verify presence of UEMSAgent.msi, UEMSAgent.mst, DMRootCA-Server.crt, DMRootCA.crt. [file_folder_operation: check_presence]",All four files extracted and present.,Extracted folder listing,windows,Windows 11 (x64),P2,Success / Happy Path,,,,,
TC-AGENTINSTALL-MSIINSTALL-004,Agent Installation,MSIINSTALL,MSI silent install - Remote Office via DS,Clean target; MSI extracted; transform carries Remote Office/DS config. DS Active.,"1. Run the msiexec command (above) in the extracted folder. [run_command]
1. Record target architecture: run `wmic os get osarchitecture` (use $env:PROCESSOR_ARCHITECTURE for ARM64). [run_command]
2. In UEMS console (Agent > Scope of Management > Computers) confirm the machine is listed under the correct office with remark ""Agent Installed successfully"" / status Active. [Qengine browser]
3. Verify service ""ManageEngine UEMS Agent Service"" exists and is RUNNING. [service_actions: status -> running]
4. Verify startup type Automatic: HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\..\SYSTEM\CurrentControlSet\Services\DCAgent -> Start = 2. [registry_operation: read_key]
5. Verify registry keys ServerName, ServerPort, AgentVersion, InstallDir under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\ (x86 uses HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\). [registry_operation: read_key]
6. Verify install dir C:\Program Files (x86)\ManageEngine\UEMS_Agent\\ exists with bin\, conf\, logs\ subfolders (x86 uses C:\Program Files\ManageEngine\UEMS_Agent\\). [file_folder_operation: check_presence]
7. Verify process DCAgentService.exe is running. [task_manager: verify_process]
8. Verify C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log shows the expected Central Server/DS as the communication target.",MSI install completes; ServerName = DS IP; listed under Remote Office.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser); Agentinstalllog.txt,windows,Windows 11 (x64),P2,Cross-Environment,Remote Office (via DS).,,,,
TC-AGENTINSTALL-MSIINSTALL-005,Agent Installation,MSIINSTALL,MSI install fails when UEMSAgent.mst is missing,Extracted folder with UEMSAgent.mst deleted/absent.,"1. Remove UEMSAgent.mst from the extracted folder. [file_folder_operation]
2. Run the msiexec command. [run_command]
3. Observe.","Install fails with ""Error applying transforms"". No agent installed.",Agentinstalllog.txt,windows,Windows 11 (x64),P1,Negative Cases,Per KNOWLEDGE: missing .mst -> Error applying transforms. FAILURE SCENARIO,,,,
TC-AGENTINSTALL-MSIINSTALL-006,Agent Installation,MSIINSTALL,MSI install fails / cert validation when .crt files missing,Extracted folder with DMRootCA-Server.crt and/or DMRootCA.crt absent.,"1. Remove the .crt file(s). [file_folder_operation]
2. Run the msiexec command. [run_command]
3. Observe.",Certificate validation fails; agent does not register correctly / install fails.,Agentinstalllog.txt; C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log,windows,Windows 11 (x64),P2,Negative Cases,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-MSIINSTALL-007,Agent Installation,MSIINSTALL,MSI install with corrupt zip,A corrupt MSI zip.,"1. Attempt to unzip the corrupt zip. [file_folder_operation]
2. Observe.",Unzip fails; install cannot proceed.,Unzip tool output,windows,Windows 11 (x64),P2,Negative Cases,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-MSIINSTALL-008,Agent Installation,MSIINSTALL,MSI install without administrator rights,Clean target; standard user.,"1. As standard user run the msiexec command. [run_command]
2. Observe.",Install blocked by permission/elevation error.,Agentinstalllog.txt,windows,Windows 11 (x64),P2,Security / Permission,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-MSIINSTALL-009,Agent Installation,MSIINSTALL,Interrupt MSI install mid-way - rollback,Clean target; MSI extracted.,"1. Start the MSI install. [run_command]
2. Cancel / kill msiexec mid-installation. [task_manager]
3. Inspect machine state.","MSI rolls back cleanly; no partial install (service absent, registry/install dir not left half-written).",Agentinstalllog.txt; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\,windows,Windows 11 (x64),P2,State Transition,,,,,
TC-AGENTINSTALL-MSIINSTALL-010,Agent Installation,MSIINSTALL,Machine restarts mid-install - MSI gets reverted,Clean target; MSI extracted.,"1. Start the MSI install. [run_command]
2. Force a restart of the target during installation. [run_command: shutdown /r]
3. After reboot, inspect state and re-run install.",Reproduce MSI revert on mid-install restart; confirm the machine is left in a consistent state and a clean re-install succeeds.,Agentinstalllog.txt; C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log,windows,Windows 11 (x64),P1,Support Ticket Scenario,SUPPORT TICKET: restart-mid-install-MSI-reverted.,,,,Restart mid-install
TC-AGENTINSTALL-MSIINSTALL-011,Agent Installation,MSIINSTALL,MSI install stuck for a long time,Clean target; MSI extracted.,"1. Start the MSI install. [run_command]
2. Monitor duration against an expected threshold.
3. If it hangs, capture msiexec state and Agentinstalllog.txt.","Reproduce the long-hang; confirm whether install eventually completes or times out, and that the fix prevents the indefinite stall.",Agentinstalllog.txt; Task Manager (msiexec),windows,Windows 11 (x64),P2,Timing / Timeout,SUPPORT TICKET: msi-stuck-long-time.,,,,MSI stuck
TC-AGENTINSTALL-MSIINSTALL-012,Agent Installation,MSIINSTALL,All MSI installs fail due to corrupted Windows Installer engine,"Target whose Windows Installer (msiexec) subsystem is corrupted (affects all MSI apps, not just the agent).","1. On a target with a corrupted MSI engine, run the agent msiexec command. [run_command]
2. Confirm other MSI installs also fail.
3. Repair the MSI engine and retry.",Reproduce environment-level MSI failure; confirm agent install fails for the same reason and succeeds after the MSI engine is repaired.,Agentinstalllog.txt; Windows Installer logs,windows,Windows 11 (x64),P2,Failure / Error Handling,SUPPORT TICKET: msiexec-corrupted-environment.,,,,MSI engine corrupt
